R,G,B,X,Y
0.568627451,0.745098039,0.82745098,0.010416667,0.3359375
0.568627451,0.745098039,0.82745098,0.010416667,0.34375
0.568627451,0.745098039,0.82745098,0.010416667,0.3515625
0.568627451,0.745098039,0.82745098,0.010416667,0.359375
0.568627451,0.745098039,0.82745098,0.010416667,0.3671875
0.568627451,0.745098039,0.82745098,0.010416667,0.375
0.57254902,0.749019608,0.823529412,0.010416667,0.3828125
0.57254902,0.749019608,0.823529412,0.010416667,0.390625
0.57254902,0.749019608,0.823529412,0.010416667,0.3984375
0.57254902,0.749019608,0.823529412,0.010416667,0.40625
0.57254902,0.749019608,0.823529412,0.010416667,0.4140625
0.57254902,0.749019608,0.823529412,0.010416667,0.421875
0.57254902,0.749019608,0.823529412,0.010416667,0.4296875
0.57254902,0.749019608,0.823529412,0.010416667,0.4375
0.576470588,0.752941176,0.82745098,0.010416667,0.4453125
0.576470588,0.752941176,0.82745098,0.010416667,0.453125
0.576470588,0.752941176,0.82745098,0.010416667,0.4609375
0.580392157,0.756862745,0.831372549,0.010416667,0.46875
0.580392157,0.756862745,0.831372549,0.010416667,0.4765625
0.580392157,0.756862745,0.831372549,0.010416667,0.484375
0.584313725,0.760784314,0.835294118,0.010416667,0.4921875
0.584313725,0.760784314,0.835294118,0.010416667,0.5
0.580392157,0.756862745,0.839215686,0.010416667,0.5078125
0.580392157,0.756862745,0.839215686,0.010416667,0.515625
0.580392157,0.756862745,0.839215686,0.010416667,0.5234375
0.584313725,0.760784314,0.843137255,0.010416667,0.53125
0.584313725,0.760784314,0.835294118,0.010416667,0.5390625
0.584313725,0.760784314,0.835294118,0.010416667,0.546875
0.596078431,0.764705882,0.831372549,0.010416667,0.5546875
0.596078431,0.764705882,0.831372549,0.010416667,0.5625
0.592156863,0.760784314,0.82745098,0.010416667,0.5703125
0.592156863,0.760784314,0.82745098,0.010416667,0.578125
0.596078431,0.760784314,0.823529412,0.010416667,0.5859375
0.6,0.764705882,0.82745098,0.010416667,0.59375
0.6,0.764705882,0.82745098,0.010416667,0.6015625
0.6,0.764705882,0.82745098,0.010416667,0.609375
0.611764706,0.764705882,0.831372549,0.010416667,0.6171875
0.611764706,0.764705882,0.831372549,0.010416667,0.625
0.603921569,0.764705882,0.843137255,0.010416667,0.6328125
0.603921569,0.764705882,0.843137255,0.010416667,0.640625
0.603921569,0.764705882,0.843137255,0.010416667,0.6484375
0.603921569,0.764705882,0.843137255,0.010416667,0.65625
0.603921569,0.764705882,0.835294118,0.010416667,0.6640625
0.603921569,0.764705882,0.835294118,0.010416667,0.671875
0.611764706,0.760784314,0.835294118,0.010416667,0.6796875
0.611764706,0.760784314,0.835294118,0.010416667,0.6875
0.619607843,0.764705882,0.835294118,0.010416667,0.6953125
0.619607843,0.764705882,0.835294118,0.010416667,0.703125
